City,Date,T2m_mean_C,RH2m_mean_pct,Wind10m_mean_ms,Precipitation_sum_mm,Requested_latitude,Requested_longitude,Grid_latitude,Grid_longitude,Grid_elevation_m,Timezone,Source_model
Beograd,2019-12-30,-1.5,86,2.21,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-31,-2.2,86,1.84,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-01,-0.1,89,2.45,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-02,0.5,90,1.47,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-03,-2.4,96,1.82,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-04,-2.2,95,1.19,0.6,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-05,2.5,81,4.63,2.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-06,-1.2,81,2.82,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-07,-2.9,87,1.39,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-08,-2.5,89,1.19,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-09,-0.3,86,1.52,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-10,1.6,77,1.84,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-11,0.8,89,1.85,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-12,0.1,94,1.22,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-13,-1.9,99,0.89,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-14,-1.7,97,1.73,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-15,0.4,92,2.08,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-16,-1.5,98,1.23,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-17,-0.8,92,2.92,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-18,0.5,81,3.93,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-19,0.1,91,1.08,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-20,0.9,90,1.59,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-21,0.6,87,1.27,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-22,-0.3,85,1.82,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-23,0.1,86,2.3,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-24,-0.8,79,2.26,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-25,0.7,81,1.68,0.3,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-26,5.0,82,1.65,1.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-27,4.5,94,1.93,9.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-28,6.2,83,3.1,0.6,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-29,5.5,83,2.77,4.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-30,3.5,84,2.61,0.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-01-31,6.7,65,3.24,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-01,11.2,69,2.29,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-02,11.8,70,2.85,0.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-03,10.6,77,2.46,1.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-04,9.0,79,4.57,10.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-05,3.6,79,7.88,6.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-06,1.5,59,5.37,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-07,3.9,74,3.98,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-08,1.6,62,1.78,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-09,2.0,72,1.96,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-10,7.5,64,4.0,0.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-11,7.4,84,4.13,13.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-12,6.5,75,2.52,0.9,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-13,5.5,70,2.57,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-14,6.9,76,3.12,5.6,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-15,6.3,82,2.36,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-16,6.2,75,3.03,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
